类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片
1;198;农家书屋;良渚街道东莲村农家书屋;杭州市余杭区良渚街道东莲村村委4楼;杭州市;余杭区;119.98304;30.336864;周一至周日08:30-17:00;/whyx/20220920/91/5305.jpg
7;203;美术馆;临平区美术馆;浙江省杭州市临平区景山路120号;杭州市;临平区;120.295944;30.42461;春夏9:00-17:00秋冬9:00-17:00;/whyx/20220920/91/4987.jpeg
8;204;科技馆;临安气象科普馆;临安区锦南街道福兴街398号;杭州市;临安区;119.696852;30.20886;08:30-17:00;/whyx/20220920/91/4689.jpg
15;211;文化礼堂;富春街道春华村文化礼堂;杭州市富阳区富春街道春华村潘村路158号;杭州市;富阳区;119.89601;30.0475;08:00-20:00;/whyx/20220920/91/16301.png
15;211;文化礼堂;乾潭镇下梓村文化礼堂;杭州市建德市乾潭镇下梓村;杭州市;建德市;119.598154;29.668859;全天开放;/whyx/20220920/91/15315.png
15;211;文化礼堂;塘栖镇塘栖村文化礼堂;临平区塘栖镇塘栖村东横塘1号;杭州市;临平区;120.199304;30.459133;周一至周日08:30-20:00;/whyx/20220920/91/15025.jpg
15;211;文化礼堂;闲林街道万景村文化礼堂;杭州市余杭区闲林街道万景村庙湾31号;杭州市;余杭区;119.977942;30.243085;09:00-17:00;/whyx/20220920/91/14877.jpg
15;211;文化礼堂;新街街道沿江村文化礼堂;杭州市萧山区新街街道沿江村委;杭州市;萧山区;120.362752;30.209462;周一至周日9:00-17:00;/whyx/20220920/91/14840.jpg
1;198;农家书屋;新塘分馆城市书房;杭州市萧山区新塘街道办事处边上;杭州市;萧山区;120.309025;30.14848;周二至周日08:30-17:00;/whyx/20220920/91/13069.jpg
1;198;农家书屋;物联网小镇悦读空间;杭州市滨江区阡陌路482号智慧e谷B座1楼;杭州市;滨江区;120.223761;30.207993;周一至周五 9:00-21:00;/whyx/20220920/91/13032.jpg
1;198;农家书屋;小河街道长征桥社区职工书屋;杭州市拱墅区小河街道长征桥社区小河佳苑南区;杭州市;拱墅区;120.131812;30.307974;09:00-17:00;/whyx/20220920/91/12790.jpg
1;198;农家书屋;杭州康桥物业管理有限公司职工书屋;杭州市拱墅区康桥街道平马巷康馨苑;杭州市;拱墅区;120.146528;30.356147;09:00-16:00;/whyx/20220920/91/12750.png
1;198;农家书屋;古荡街道莲花社区图书室;杭州市西湖区山水人家香溪地1-1-101;杭州市;西湖区;120.10656;30.270717;周一至周日09:00-11:30 14:00-17:00;/whyx/20220920/91/12114.jpg
1;198;农家书屋;瓜沥镇八大村农家书屋;杭州市萧山区瓜沥镇八大村村民委员会;杭州市;萧山区;120.387454;30.174691;周一至周五8:00-11:00；13:00-17：00;/whyx/20220920/91/12033.jpg
1;198;农家书屋;城厢街道俊良社区图书室;杭州市萧山区俊良社区崇化住宅32幢文化家园2楼;杭州市;萧山区;120.254248;30.156799;周一至周六08:30-11:30 13:30-17:00;/whyx/20220920/91/11966.jpg
1;198;农家书屋;半山街道阔板桥社区图书室;杭州市拱墅区半山路133号杭玻阔板桥社区29幢一楼;杭州市;拱墅区;120.179297;30.349167;周一、周三至周日:12:00-20:00;/whyx/20220920/91/11791.jpg
1;198;农家书屋;留下街道东穆坞村农家书屋;杭州市西湖区东穆坞268号文化礼堂;杭州市;西湖区;120.056585;30.199489;周一至周日09:00-11:30 13:30-16:30工作日开放;/whyx/20220920/91/11555.jpg
1;198;农家书屋;浦阳镇灵山村农家书屋;杭州市萧山区浦阳镇灵山村村委会;杭州市;萧山区;120.230144;29.968343;周一至周日08:00-16:00;/whyx/20220920/91/11474.jpg
1;198;农家书屋;天水街道延安新村社区图书室;杭州市拱墅区中山北路333号2楼;杭州市;拱墅区;120.168254;30.265795;周一至周五08:30-16:30 周六08:30-16:30;/whyx/20220920/91/11128.jpg
1;198;农家书屋;新街街道元沙村农家书屋;杭州市萧山区元沙村168号;杭州市;萧山区;120.358504;30.177738;周一至周日08:30-16:30;/whyx/20220920/91/11063.jpg
16;212;文化家园;水湘社区文化家园;杭州市上城区四季青街道水湘社区文化服务中心;杭州市;上城区;120.21418;30.274656;nan;/whyx/20220920/90/8824.jpg
16;212;文化家园;九堡街道相江社区图书室;杭州市上城区九堡街道相江社区文化中心;杭州市;上城区;120.218861;30.287654;09:00-11:00;/whyx/20220920/90/8662.jpg
1;198;农家书屋;富通集团有限公司职工书屋;杭州市富阳区金秋大道富通科技园;杭州市;富阳区;119.90785;30.05835;00:00-00:00;/whyx/20220920/90/4350.png
15;211;文化礼堂;瓜沥镇勇建村文化礼堂;杭州市萧山区瓜沥镇勇建村村委会;杭州市;萧山区;120.417615;30.179783;周一至周日08:30-16:30;/whyx/20220920/90/15923.png
15;211;文化礼堂;合村乡瑶溪村文化礼堂;杭州市桐庐县合村乡瑶溪村外陈家自然村;杭州市;桐庐县;119.798859;29.836089;周一至周日08:30-17:00;/whyx/20220920/90/15879.png
15;211;文化礼堂;横村镇方埠村文化礼堂;杭州市桐庐县横村镇方埠村;杭州市;桐庐县;119.613466;29.8628;周一至周日08:30-17:00;/whyx/20220920/90/15842.png
15;211;文化礼堂;进化镇墅上王村文化礼堂;杭州市萧山区进化镇墅上王村委会;杭州市;萧山区;120.269603;30.029725;周一至周日08：30-20:30;/whyx/20220920/90/15710.jpg
15;211;文化礼堂;九堡街道宣家埠村文化礼堂;上城区九堡街道宣家埠村三区30号东侧;杭州市;上城区;120.252382;30.329627;09:00-17:00;/whyx/20220920/90/15666.jpg
15;211;文化礼堂;临浦镇临北村文化礼堂;萧山区临浦镇临北村文化礼堂;杭州市;萧山区;120.253021;30.056313;夏令时08:30-16:30冬令时 09:00-16:30;/whyx/20220920/90/15585.jpg
15;211;文化礼堂;梅城镇伊村村文化礼堂;杭州市建德市伊村村伊子坞自然村;杭州市;建德市;119.629076;29.451784;周一至周日08:30-17:00;/whyx/20220920/90/15471.jpg
15;211;文化礼堂;义蓬街道春光村文化礼堂;杭州市钱塘区义蓬街道春光村委;杭州市;钱塘区;120.525774;30.325954;08:30-11:00;/whyx/20220920/90/15350.png
15;211;文化礼堂;青山湖街道朱村村文化礼堂;浙江省杭州市临安区青山湖街道朱村133号;杭州市;临安区;119.813835;30.223559;08:30-20:00;/whyx/20220920/90/15255.jpg
15;211;文化礼堂;所前镇杜家村文化礼堂;杭州市萧山区所前镇杜家村村委会;杭州市;萧山区;120.313583;30.076246;周一至周日08:00-16:30;/whyx/20220920/90/15097.jpg
15;211;文化礼堂;太阳镇大地村文化礼堂;浙江省杭州市临安区太阳镇大地村大地里村3号;杭州市;临安区;119.317856;30.146817;09:00-17:00;/whyx/20220920/90/15060.jpg
15;211;文化礼堂;益农镇东江村文化礼堂;杭州市萧山区东江村三组西北约405米;杭州市;萧山区;120.599381;30.15791;周一至周日8:00 - 17:00;/whyx/20220920/90/14728.jpg
15;211;文化礼堂;运河街道新宇村文化礼堂;杭州市临平区运河街道新宇村姜石68号;杭州市;临平区;120.317119;30.513199;春夏8:30-17:00秋冬8:30-17:00;/whyx/20220920/90/14647.jpg
15;211;文化礼堂;东洲街道紫铜村文化礼堂;杭州市富阳区东洲街道紫铜村;杭州市;富阳区;120.07006;30.08072;08:30-16:30;/whyx/20220920/90/14566.jpg
1;198;农家书屋;江南镇舒川村农家书屋;杭州市桐庐县江南镇舒川村文化礼堂;杭州市;桐庐县;119.73625;29.850265;周一至周日08:30-16:30;/whyx/20220920/90/14074.jpg
1;198;农家书屋;径山书院图书分馆;杭州市余杭区径山镇平山村上平山88号;杭州市;余杭区;119.812859;30.345197;周一至周日，9:00-16:30;/whyx/20220920/90/13084.png
1;198;农家书屋;杭州利星名品百货广场有限公司职工书屋;杭州市上城区紫阳街道尚城中山南路77号;杭州市;上城区;120.168584;30.22776;周一至周日10:00－20:00;/whyx/20220920/90/12755.jpg
1;198;农家书屋;杭州汽车高级技工学校职工书屋;杭州市拱墅区莫干山路558号(北大桥地铁站A口旁);杭州市;拱墅区;120.129227;30.303985;08:00-20:00;/whyx/20220920/90/12601.png
1;198;农家书屋;杭州书房·云锦书苑;杭州市拱墅区半山街道云锦社区文化家园;杭州市;拱墅区;120.171631;30.311103;周二-周五:12:30-17:30 18:30-20:30 周六、周日:9:00-11:30 13:00-17:00;/whyx/20220920/90/12263.jpg
1;198;农家书屋;新街街道下潦社区图书室;杭州市萧山区新塘街道新城路1688号;杭州市;萧山区;120.310024;30.176346;周一至周五8:00-11:00；13:00-17：00;/whyx/20220920/90/12186.jpg
1;198;农家书屋;宁围街道宁牧村农家书屋;杭州市萧山区宁牧村老年活动室;杭州市;萧山区;120.270396;30.1863;周一至周五8:00-11:00；13:00-17：00;/whyx/20220920/90/12065.png
1;198;农家书屋;上塘街道拱宸社区图书室;杭州市拱墅区舟台州路329号;杭州市;拱墅区;120.148288;30.319328;周一至周日 :8:00-11:30 14:00-17:00;/whyx/20220920/90/11817.jpg
1;198;农家书屋;河上镇溪头村农家书屋;杭州市萧山区河上镇溪头村村委会;杭州市;萧山区;120.172408;29.93978;周一至周五8:00-11:00；13:00-17：00;/whyx/20220920/90/11736.jpg
1;198;农家书屋;凯旋街道金兰池社区图书室;杭州市上城区双菱路117号金兰池公寓11幢;杭州市;上城区;120.195054;30.260669;周一至周日08:30-11:30 14:00-16:30;/whyx/20220920/90/11655.jpg
1;198;农家书屋;清凉峰镇图书分馆;杭州市临安区清凉峰镇文体中心2楼（杨溪村委边）;杭州市;临安区;118.933431;30.098956;周一至周日08:30-16:30;/whyx/20220920/90/11439.jpg
1;198;农家书屋;临浦镇三峰村农家书屋;杭州市萧山区临浦镇三峰村;杭州市;萧山区;120.223412;30.069384;周一至周日08:00-17:00;/whyx/20220920/90/11402.jpg
1;198;农家书屋;瓜沥镇塘头社区图书室;杭州市萧山区瓜沥镇河东路86号;杭州市;萧山区;120.466465;30.17391;周一至周五 8:30-11:30 13:30-16:30;/whyx/20220920/90/11325.jpg
1;198;农家书屋;双浦镇三阳村农家书屋;杭州市西湖区三阳村文化礼堂;杭州市;西湖区;120.072994;30.091027;周一至周六8:30-17:00;/whyx/20220920/90/11244.jpg
1;198;农家书屋;河庄街道新江村农家书屋;杭州市钱塘区河庄街道新江村;杭州市;钱塘区;120.461467;30.346248;周一至周日08:00-11:00 13:30-17:00;/whyx/20220920/90/11163.jpg
20;215;体育场馆;西湖国际高尔夫球场;杭州市西湖区之江路200号;杭州市;上城区;120.06672;30.169415;周一至周日09:00--22:00;/whyx/20220920/9/8054.jpg
14;210;文体中心;楼塔镇文体中心;杭州市萧山区楼塔镇原楼家塔电镀厂;杭州市;萧山区;120.142003;29.915486;周一至周日9：00-17：00;/whyx/20220920/9/6870.jpg
15;211;文化礼堂;仓前街道苕溪村文化礼堂;杭州市余杭区仓前街道苕溪村4组凌村营;杭州市;余杭区;119.950861;30.312612;09:00-17:00;/whyx/20220920/9/16354.png
15;211;文化礼堂;戴村镇南三村文化礼堂;杭州市萧山区戴村镇南三村250号下方文化中心;杭州市;萧山区;120.19517;30.005528;周一至周日 08:30-17:00;/whyx/20220920/9/16192.png
15;211;文化礼堂;汾口镇程店村文化礼堂;杭州市淳安县茅屏;杭州市;淳安县;118.567377;29.462194;08:30-17:30;/whyx/20220920/9/16095.png
15;211;文化礼堂;灵源村农村文化礼堂;浙江省杭州市余杭区仓兴街杭州师范大学附属仓前实验中学东南侧约230米;杭州市;余杭区;119.993555;30.290749;周一至周日09:00-17:00;/whyx/20220920/9/15904.png
15;211;文化礼堂;常安镇横溪村文化礼堂;富阳区常安镇横溪村1号;杭州市;富阳区;119.892;29.89637;08:00-20:00;/whyx/20220920/9/15823.png
15;211;文化礼堂;靖江街道东桥村文化礼堂;杭州市萧山区靖江街道东桥村便民服务中心;杭州市;萧山区;120.494643;30.224449;周一至周日08：30-16:30;/whyx/20220920/9/15685.jpg
15;211;文化礼堂;鹿山街道陆家村文化礼堂;杭州市富阳区鹿山大道与横汤段交叉口西南140米;杭州市;富阳区;119.9223;30.02271;08:00-20:00;/whyx/20220920/9/15489.jpg
15;211;文化礼堂;南阳街道赭东村文化礼堂;杭州市萧山区南阳街道赭东村赭东家苑中心广场旁;杭州市;萧山区;120.422344;30.255774;周一至周日09:00-17:00;/whyx/20220920/9/15452.jpg
15;211;文化礼堂;浦阳镇浦一村文化礼堂;杭州市萧山区浦阳镇浦一村汪家埭自然村;杭州市;萧山区;120.274882;29.970166;周一至周日09:00-20:00;/whyx/20220920/9/15412.png
15;211;文化礼堂;河庄街道向前村文化礼堂;杭州市钱塘区河庄街道向前村委会;杭州市;钱塘区;120.452318;30.310008;周一至周日08:30-20:30;/whyx/20220920/9/15371.jpg
15;211;文化礼堂;乾潭镇大畈村文化礼堂;杭州市建德市乾潭镇大畈村;杭州市;建德市;119.543479;29.615648;全天开放;/whyx/20220920/9/15331.png
15;211;文化礼堂;大源镇勤功村文化礼堂;富阳区大源镇（乡）勤功村1号;杭州市;富阳区;120.03301;29.89336;08:00-20:00;/whyx/20220920/9/15274.jpg
15;211;文化礼堂;富春街道三桥村文化礼堂;杭州市富阳区富春街道三桥村步桥自然村1号;杭州市;富阳区;119.89216;30.05954;08:00-20:00;/whyx/20220920/9/15193.jpg
15;211;文化礼堂;义桥镇联三村文化礼堂;杭州市萧山区义桥镇联三村桥金线百强实业东侧;杭州市;萧山区;120.217586;30.076456;周一至周日9:00-16:00;/whyx/20220920/9/14743.jpg
15;211;文化礼堂;盈丰街道利一村文化礼堂;杭州市萧山区盈丰街道利一家园;杭州市;萧山区;120.247524;30.227973;周一至周日8:00-20:30;/whyx/20220920/9/14709.jpg
1;198;农家书屋;桃源书屋;杭州市萧山区萧山区浦阳镇尖山村振浦路88号;杭州市;萧山区;120.251904;29.9796;周一至周日11:00-19:30;/whyx/20220920/9/13016.jpg
1;198;农家书屋;三墩镇民生西湖书房;杭州市西湖区三墩镇厚仁路150号;杭州市;西湖区;120.081496;30.325834;周二至周日 9:00-21:00;/whyx/20220920/9/12989.jpg
1;198;农家书屋;杭州银耀百货有限公司职工书屋;杭州市拱墅区朝晖街道西湖文化广场;杭州市;拱墅区;120.163755;30.276652;周一至周日09:00-15:00;/whyx/20220920/9/12855.jpg
1;198;农家书屋;凤翮正道文化发展有限公司;杭州市西湖区古荡街道西溪路560号5幢6楼605室;杭州市;西湖区;120.106171;30.266272;周一至周日09:00-17:00;/whyx/20220920/9/12693.jpg
1;198;农家书屋;杭州市上城区Spark运动主题书房;杭州市上城区钱潮路12号;杭州市;上城区;120.222994;30.255277;nan;/whyx/20220920/9/12659.jpg
1;198;农家书屋;杭州市消防救援支队职工书屋;杭州市上城区望江街道鲲鹏路363(近江地铁站E口步行450米);杭州市;上城区;120.196889;30.227507;周一至周日08:30-11:30 13:30-17:00;/whyx/20220920/9/12619.png
1;198;农家书屋;杭叉集团职工书屋;杭州市临安区区经济开发区东环路88-1;杭州市;临安区;119.692834;30.227834;周五中午11:00-13:00 下班后4:00-5:00;/whyx/20220920/9/12578.jpg
1;198;农家书屋;三墩镇五幸社区图书室;杭州市西湖区五幸社区方家村68号;杭州市;西湖区;120.052062;30.32108;周一至周五09:00-16:00;/whyx/20220920/9/12167.jpg
1;198;农家书屋;北干街道江南星城社区图书室;杭州市萧山区横一路江南国际城商铺3-4号;杭州市;萧山区;120.237338;30.189488;不开放;/whyx/20220920/9/12130.jpg
1;198;农家书屋;靖江街道东桥村农家书屋;杭州市萧山区靖江街道申达路1539号;杭州市;萧山区;120.474244;30.229294;不开放;/whyx/20220920/9/11869.jpg
1;198;农家书屋;米市巷街道红石板社区图书室;杭州市拱墅区沈塘铭苑1幢2楼;杭州市;拱墅区;120.155195;30.283412;周一至周六:9:00-17:00;/whyx/20220920/9/11717.jpg
1;198;农家书屋;凯旋街道景新社区图书室;杭州市上城区景芳三区35幢;杭州市;上城区;120.20542;30.268822;周一至周日08:30-11:30 14:00-17:00;/whyx/20220920/9/11636.jpg
1;198;农家书屋;楼塔镇楼家塔村农家书屋;杭州市萧山区楼塔镇楼家塔村文化中心;杭州市;萧山区;120.166442;29.939015;周一至周五8:00-11:00；13:00-17：00;/whyx/20220920/9/11539.jpg
1;198;农家书屋;文新街道南都社区图书室;杭州市西湖区文一西路102号天河西苑26幢社区一楼;杭州市;西湖区;120.104917;30.290492;周一至周五9:00-17:00;/whyx/20220920/9/11502.jpg
1;198;农家书屋;新塘街道前塘社区图书室;杭州市萧山区新塘街道新螺路917-1号;杭州市;萧山区;120.310004;30.14506;周一至周日09:00-16:30;/whyx/20220920/9/11458.jpg
1;198;农家书屋;新塘街道荣新村农家书屋;杭州市萧山区瓜沥镇荣新村老年活动室;杭州市;萧山区;120.40396;30.184596;周二至周日08:00-10:00 13:00-16:30;/whyx/20220920/9/11421.jpg
1;198;农家书屋;钟山乡图书分馆;杭州市桐庐县钟山乡钟山村石城路乡镇综合文化站;杭州市;桐庐县;119.535196;29.766467;08:30-17:30;/whyx/20220920/9/11306.jpg
1;198;农家书屋;西溪街道图书分馆;杭州市西湖区马塍路10号农贸市场5楼;杭州市;西湖区;120.148148;30.276062;周一至周日08:30-17:30;/whyx/20220920/9/11225.jpg
1;198;农家书屋;瓜沥镇信源村农家书屋;杭州市萧山区瓜沥镇信源村村委;杭州市;萧山区;120.516915;30.163727;周一至周日08:30-16:30;/whyx/20220920/9/11144.jpg
1;198;农家书屋;瓜沥镇运东村农家书屋;杭州市萧山区瓜沥镇运东村6组12号;杭州市;萧山区;120.473776;30.204257;不开放;/whyx/20220920/9/11047.jpg
1;198;农家书屋;三墩镇政苑社区图书室;杭州市西湖区丰潭路政苑小区服务中心一楼;杭州市;西湖区;120.103899;30.297104;周一至周日08:30-11:30 14:00-15:00;/whyx/20220920/9/11010.jpg
1;198;农家书屋;转塘街道紫霞社区图书室;杭州市西湖区象山人家小区6幢;杭州市;西湖区;120.054317;30.146739;周一至周五9点至16点 周一和周五晚上19点至21点 周六周日9点至12点;/whyx/20220920/9/10983.jpg
16;212;文化家园;紫萱社区文化家园;杭州市西湖区三墩镇紫萱路310号;杭州市;西湖区;120.069478;30.329307;周一至周日09：00—16：30;/whyx/20220920/89/8364.png
7;203;美术馆;唐云艺术馆;杭州市南山路45号;杭州市;上城区;120.155264;30.233257;周二至周日 09:00-16:00;/whyx/20220920/89/8090.jpg
14;210;文体中心;新街街道综合文化站;杭州市萧山区新街街道戚枫路65号;杭州市;萧山区;120.342349;30.194003;周一至周日8：30-11：30；13：00-17：00；17：30-19：31周一上午闭馆;/whyx/20220920/89/7462.jpg
15;211;文化礼堂;戴村镇方溪村文化礼堂;杭州市萧山区戴村镇方溪村;杭州市;萧山区;120.12784;29.981474;周一至周日 09:00-18:00;/whyx/20220920/89/16200.png
15;211;文化礼堂;岛石镇上许村文化礼堂;浙江省杭州市临安区岛石镇上许村上许自然村;杭州市;临安区;118.928099;30.241978;08:00-18:00;/whyx/20220920/89/16156.png
15;211;文化礼堂;蜀山街道赵家墩村文化礼堂;杭州市萧山区蜀山街道赵家墩村委会;杭州市;萧山区;120.245209;30.114794;周一至周日09:00-17:00;/whyx/20220920/89/15139.jpg
1;198;农家书屋;新安书屋（华数营业厅流通点）;杭州市桐庐县广电路88号;杭州市;淳安县;118.985143;29.791537;nan;/whyx/20220920/89/13052.jpg
1;198;农家书屋;蒋村街道西湖书房;杭州市西湖区蒋村街道龙章路159号2楼;杭州市;西湖区;120.057741;30.284916;周一至周日9:00-17:00;/whyx/20220920/89/12891.jpg
1;198;农家书屋;杭州申迪电子科技有限公司职工书屋;杭州市临安区上杨路8号;杭州市;临安区;119.707735;30.19058;周一至周日08:00-16:30;/whyx/20220920/89/12770.png
1;198;农家书屋;转塘街道西湖茶场村农家书屋;杭州市西湖区西湖茶场村委内;杭州市;西湖区;120.045628;30.171292;周一至周五9点至16点 周一和周五晚上19点至21点 周六周日13点至16点;/whyx/20220920/89/12228.jpg
1;198;农家书屋;浦沿街道东信社区图书室;杭州市滨江区浦沿街道东信大道290号逸天广场小区内;杭州市;滨江区;120.137342;30.17499;周一至周日08:00-11:00 13:30-16:30;/whyx/20220920/89/12013.jpg
1;198;农家书屋;所前镇城南村农家书屋;杭州市萧山区城南村村委;杭州市;萧山区;120.282283;30.12422;周一至周五08:30-11:00 13:30-16:30;/whyx/20220920/89/11986.jpg
1;198;农家书屋;新塘街道昄里童社区图书室;杭州市萧山区新塘街道昄里童社区老年活动室;杭州市;萧山区;120.273528;30.154509;周一至周日09:30-14:30;/whyx/20220920/89/11852.jpg
1;198;农家书屋;翠苑街道黄姑山社区图书室;杭州市西湖区中融城市花园4幢1楼;杭州市;西湖区;120.12816;30.272706;周一至周五8:30-17:00;/whyx/20220920/89/11690.jpg
1;198;农家书屋;所前镇三泉王村农家书屋;杭州市萧山区三泉王文化礼堂西区110号;杭州市;萧山区;120.285449;30.058047;周一至周五09:00-11:00 13:30-20:00;/whyx/20220920/89/11397.jpg
1;198;农家书屋;新街街道盛中村农家书屋;杭州市萧山区新盛线萧山区新街中心幼儿园(盛中分园);杭州市;萧山区;120.322176;30.214071;周-至周六7:00-16:00;/whyx/20220920/89/11360.jpg
1;198;农家书屋;义桥镇富春村农家书屋;杭州市萧山区义桥镇富春村文化礼堂;杭州市;萧山区;120.144985;30.082397;周二至日08:30-16:30;/whyx/20220920/89/11108.jpg
1;198;农家书屋;新街街道盈中村农家书屋;杭州市萧山区笑岩线萧山区公安分局新街派出所东侧;杭州市;萧山区;120.358102;30.1777;周一至周五8:30-10:30 1:30-4:30;/whyx/20220920/89/11083.jpg
16;212;文化家园;宁东社区文化家园;杭州市萧山区宁东社区居委会;杭州市;萧山区;120.276301;30.211693;周一至周日08:00—17:00;/whyx/20220920/88/8309.png
14;210;文体中心;红山农场文化站;杭州市萧山区红山农场先锋路448号;杭州市;萧山区;120.385386;30.232404;nan;/whyx/20220920/88/8228.png
20;215;体育场馆;浙江大学（紫金港校区）体育馆;杭州市西湖区余杭塘路866号;杭州市;西湖区;120.081968;30.302257;周五至周日 08:00-18:00;/whyx/20220920/88/8055.jpg
15;211;文化礼堂;戴村镇青山村文化礼堂;杭州市萧山区戴村镇青山村（经120.157719，纬30.004157）;杭州市;萧山区;120.146209;29.999008;周一至周日 08:00-17:00;/whyx/20220920/88/16191.png
15;211;文化礼堂;瓶窑镇彭公村农村文化礼堂;杭州市余杭区瓶窑镇彭公村板石1-1号;杭州市;余杭区;119.920331;30.426966;周一至周日08:30 - 17:00;/whyx/20220920/88/15903.png
15;211;文化礼堂;河上镇联发村文化礼堂;杭州市萧山区河上镇联发村村委;杭州市;萧山区;120.153831;29.922879;周一至周日06:30-23:00;/whyx/20220920/88/15859.png
15;211;文化礼堂;东洲街道红旗村文化礼堂;杭州市富阳区东洲街道红旗村;杭州市;富阳区;120.02579;30.05808;08:00-20:00;/whyx/20220920/88/15822.png
15;211;文化礼堂;径山镇长乐村文化礼堂;杭州市余杭区S15(彭长线);杭州市;余杭区;119.855416;30.340539;周一至周日09：00-17:00;/whyx/20220920/88/15686.jpg
15;211;文化礼堂;东洲街道陆家浦村文化礼堂;杭州市富阳区东洲街道陆家浦村;杭州市;富阳区;120.037;30.06408;08:00-17:00;/whyx/20220920/88/15488.jpg
15;211;文化礼堂;宁围街道二桥村文化礼堂;杭州市萧山区二桥村委会;杭州市;萧山区;120.294348;30.235465;周一至周日09:00-17:00;/whyx/20220920/88/15451.jpg
15;211;文化礼堂;宁围街道顺坝村文化礼堂;杭州市萧山区宁围街道顺坝村村委会（萧山区农商银行钱宁线顺坝中心桥南）;杭州市;萧山区;120.293935;30.268738;春夏8:00-20:00秋冬8:00-20:00;/whyx/20220920/88/15448.png
15;211;文化礼堂;浦阳镇十三房村文化礼堂;杭州市萧山区浦阳镇十三房村;杭州市;萧山区;120.237009;29.970132;周一至周日09:00-20:00;/whyx/20220920/88/15411.png
15;211;文化礼堂;河庄街道新创村文化礼堂;杭州市钱塘区河庄街道新创村村委会;杭州市;钱塘区;120.446028;30.341774;周一至周日08:30-20:30;/whyx/20220920/88/15370.jpg
15;211;文化礼堂;乾潭镇方家村文化礼堂;杭州市建德市方家村东南约209米;杭州市;建德市;120.047205;29.971467;全天开放;/whyx/20220920/88/15330.png
15;211;文化礼堂;大源镇三岭村文化礼堂;富阳区大源镇三岭村三支1号;杭州市;富阳区;120.07451;29.923;08:00-20:00;/whyx/20220920/88/15194.jpg
15;211;文化礼堂;银湖街道唐家坞村文化礼堂;杭州市富阳区银湖街道唐家坞村富洪新村1号;杭州市;富阳区;119.91299;30.15568;08:00-20:00;/whyx/20220920/88/15040.jpg
15;211;文化礼堂;闻堰街道老虎洞村文化礼堂;杭州市萧山区闻堰街道老虎洞村村委会;杭州市;萧山区;120.201567;30.128395;周一至周日8:00-17:00;/whyx/20220920/88/14906.jpg
15;211;文化礼堂;义桥镇蛟山村文化礼堂;杭州市萧山区义桥镇蛟山村;杭州市;萧山区;120.180851;30.065148;周一至周日8:30-16:30;/whyx/20220920/88/14744.jpg
15;211;文化礼堂;盈丰街道新中村文化礼堂;杭州市萧山区振宁路600号国丰大厦C座东北约62米;杭州市;萧山区;120.272441;30.216113;周一至周日8:00-20:30;/whyx/20220920/88/14708.jpg
15;211;文化礼堂;中泰街道双联村文化礼堂;杭州市余杭区中泰街道双联村民委员会;杭州市;余杭区;119.944915;30.209328;08:30-17:00;/whyx/20220920/88/14627.jpg
1;198;农家书屋;瓜沥镇永福村农家书屋;杭州市萧山区瓜沥镇永福村16组;杭州市;萧山区;120.464882;30.188608;周一至周日08:30-16:30;/whyx/20220920/88/13442.png
1;198;农家书屋;特美晓风茶书馆;杭州市上城区四季青街道新业路8号UDC时代大厦A座3楼;杭州市;上城区;120.215743;30.246468;周一至周日09:00-18:00;/whyx/20220920/88/13017.jpg
1;198;农家书屋;三墩镇兰韵西湖书房;杭州市西湖区三墩镇厚仁路150号;杭州市;西湖区;120.081496;30.325834;周二至周日 9:00-21:00;/whyx/20220920/88/12988.jpg
1;198;农家书屋;明德书房;杭州市萧山区北干街道新康路融信光耀府;杭州市;萧山区;120.282862;30.178514;周二至周五13:30-20:30；周六周日10:00-18:00;/whyx/20220920/88/12951.jpg
1;198;农家书屋;杭州市西站枢纽开发有限公司职工书屋;杭州市余杭区龙园路88号创鑫时代广场3号楼B座15层;杭州市;余杭区;119.976073;30.273519;周一至周五;/whyx/20220920/88/12618.png
1;198;农家书屋;三墩镇双桥村农家书屋;杭州市西湖区油车桥双桥村村委内;杭州市;西湖区;120.032321;30.3214;搬迁关停;/whyx/20220920/88/12166.jpg
1;198;农家书屋;北山街道松木场社区图书室;杭州市西湖区王家弄1号2楼阅览室;杭州市;西湖区;120.148;30.2685;周一至周五 9:00-17:30;/whyx/20220920/88/12085.jpg
1;198;农家书屋;临浦镇戴家桥社区图书室;杭州市萧山区临浦镇戴家桥社区;杭州市;萧山区;120.250382;30.040352;周一至周五8:00-11:00；13:00-17：00;/whyx/20220920/88/11914.jpg
1;198;农家书屋;朝晖街道虹园社区图书室;杭州市拱墅区朝晖9区54幢地下活动室;杭州市;拱墅区;120.156355;30.289126;周一至周五8:30-11:30 13:30-16:30;/whyx/20220920/88/11716.jpg
1;198;农家书屋;凯旋街道景秀社区图书室;杭州市上城区景芳一区23幢;杭州市;上城区;120.202674;30.266575;周一至周日:9:00-16:00-;/whyx/20220920/88/11635.jpg
1;198;农家书屋;瓜沥镇南大房社区图书室;杭州市萧山区瓜沥镇南大房社区居委会;杭州市;萧山区;120.524132;30.160513;周一至周日08:30-16:30;/whyx/20220920/88/11503.jpg
1;198;农家书屋;仁和街道图书分馆;杭州市余杭区仁和街道党群服务中心一楼（原文体中心）;杭州市;余杭区;120.09253;30.443308;周二至周日08:30- 17:00;/whyx/20220920/88/11422.jpg
