类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片;img
1;198;农家书屋;东新街道沁苑社区图书馆;杭州市拱墅区东新街道沁苑社区图书馆;杭州市;拱墅区;120.165426;30.294769;nan;/whyx20221018/95/8771.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/95/8771.jpg
2;199;文博场馆;岗古村村史馆;杭州市桐庐县凤川街道岗古村落桐常线凤川小学东侧约100米;杭州市;桐庐县;119.778958;29.80831;周一至周日8:30-17:00;/whyx20221018/95/6210.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/95/6210.jpg
3;200;文化活动室;刀茅巷社区文化服务中心;环东公寓3幢底层刀茅巷社区;杭州市;拱墅区;120.182;30.2706;9:00-17:00;/whyx20221018/95/6058.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/95/6058.jpg
15;211;文化礼堂;大同镇潘村村文化礼堂;杭州市建德市大同镇潘村;杭州市;建德市;119.065596;29.318333;周一到周日09:00-17:00;/whyx20221018/95/16246.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/95/16246.jpg
15;211;文化礼堂;洞桥镇贤德村文化礼堂;富阳区洞桥镇贤德村何村坞;杭州市;富阳区;119.56275;30.03276;08:00-20:00;/whyx20221018/95/14873.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/95/14873.jpg
3;200;文化活动室;小营街道姚园寺巷社区文化活动中心;建国南苑39幢;杭州市;上城区;119.94521;30.2728;08:30-11:00;/whyx20221018/94/8905.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/94/8905.jpg
17;219;机房/广播站;桐庐调频广播发射台;杭州市桐庐县舞象山;杭州市;桐庐县;119.660878;29.80196816;不开放;/whyx20221018/94/8039.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/94/8039.jpg
17;219;机房/广播站;机房;杭州市华丰路390号;杭州市;拱墅区;120.194083;30.34092;不开放;/whyx20221018/94/8002.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/94/8002.jpg
14;210;文体中心;百江镇文体中心;桐庐县百江镇紫燕路777号;杭州市;桐庐县;119.357833;29.848254;周一至周日8:30-16:30;/whyx20221018/94/6363.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/94/6363.jpg
1;198;农家书屋;新塘街道裘江新村农家书屋;杭州市萧山区新塘街道裘江新村村委会3楼;杭州市;萧山区;120.299107;30.135826;周一至周日08:00-16:00;/whyx20221018/94/11435.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/94/11435.jpg
3;200;文化活动室;如意社区文化活动室;杭州市富阳区如意社区文化活动室;杭州市;富阳区;119.7308617;29.9752535;nan;/whyx20221018/93/8791.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/93/8791.jpg
3;200;文化活动室;虎啸杏社区文化活动室;杭州市富阳区虎啸杏社区文化活动室;杭州市;富阳区;119.9727839;30.16499141;nan;/whyx20221018/93/8566.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/93/8566.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市留和路129号的横街综合办公楼二楼205室;杭州市;临安区;120.171945;30.2637;nan;/whyx20221018/93/7967.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/93/7967.jpg
14;210;文体中心;杭州钱江经济开发区紫创未来谷党群驿站（职工之家）;余杭区仁和街道仁河大道516号（紫创未来谷内）;杭州市;余杭区;120.094658;30.4306;周一至周五上午9点至下午5点;/whyx20221018/93/5574.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/93/5574.jpg
3;200;文化活动室;彭埠街道红五月社区文体活动中心;杭州市上城区彭埠街道红五月社区文体活动中心;杭州市;上城区;120.2506922;30.3045424;nan;/whyx20221018/92/8756.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/92/8756.jpg
17;219;机房/广播站;机房;杭州市体育场路178号浙报大院C座29层2903房间;杭州市;拱墅区;120.174585;30.271021;不开放;/whyx20221018/92/8019.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/92/8019.jpg
15;211;文化礼堂;大同镇城山村文化礼堂;杭州市建德市大同镇城山村;杭州市;建德市;119.069262;29.275716;周一到周日09:00-17:00;/whyx20221018/92/16261.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/92/16261.jpg
15;211;文化礼堂;新登镇五里桥村文化礼堂;杭州市富阳区新登镇五里桥村白家;杭州市;富阳区;119.71761;29.95891;08:00-20:00;/whyx20221018/92/14902.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/92/14902.jpg
15;211;文化礼堂;万市镇杨家村文化礼堂;富阳区万市镇杨家村铜王殿1号;杭州市;富阳区;119.4832;30.10068;08:00-20:00;/whyx20221018/92/14777.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/92/14777.jpg
16;212;文化家园;乾潭镇马鞍岭社区文化家园;杭州市建德市乾潭镇马鞍岭社区文化家园;杭州市;建德市;119.543554;29.619007;nan;/whyx20221018/91/8603.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/91/8603.jpg
14;210;文体中心;进化镇文化站;杭州市萧山区塘湄线与鹿鸣西路交叉口西北260米;杭州市;萧山区;120.296827;30.011642;nan;/whyx20221018/91/8229.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/91/8229.jpg
16;212;文化家园;南星社区社区文化家园;杭州市临平区星桥北路48号;杭州市;临平区;120.258455;30.39795;周一至周日08:30-16:30;/whyx20221018/91/5200.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/91/5200.jpg
2;199;文博场馆;天福龟鳖博物馆;杭州市萧山区通惠北路35号;杭州市;萧山区;120.288706;30.209218;nan;/whyx20221018/91/14530.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/91/14530.jpg
5;202;剧院;太阳剧场;杭州市拱墅区东文街90号新天地;杭州市;拱墅区;120.180033;30.322663;nan;/whyx20221018/90/7834.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/90/7834.jpg
15;211;文化礼堂;大同镇上马村文化礼堂;杭州市建德市大同镇上马村;杭州市;建德市;119.045402;29.260522;周一到周日09:00-17:00;/whyx20221018/90/16241.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/90/16241.jpg
2;199;文博场馆;诸家村断龙非遗馆;杭州市建德市诸家村断龙非遗馆;杭州市;建德市;119.0428457;29.33038279;nan;/whyx20221018/9/9529.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/9529.jpg
3;200;文化活动室;俞章社区文体中心;杭州市上城区笕桥街道俞章社区文体中心;杭州市;上城区;120.204346;30.324278;nan;/whyx20221018/9/8599.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/8599.jpg
3;200;文化活动室;东坡路社区文化活动室;杭州市上城区湖滨街道东坡路社区文化活动室;杭州市;上城区;120.273033;30.161205;nan;/whyx20221018/9/8562.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/8562.jpg
19;214;公共阅报栏;杭州市钱塘区闸口路新湾文化中心阅报栏;杭州市钱塘区新湾街道闸口路90号;杭州市;钱塘区;120.544823;30.281212;全天开放;/whyx20221018/9/7657.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/7657.jpg
16;212;文化家园;太平弄社区文化家园;杭州市萧山区城厢街道太平弄社区8号;杭州市;萧山区;120.266363;30.1592;周一至周五上午8:30-11:30下午1：30-4：30;/whyx20221018/9/7479.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/7479.jpg
14;210;文体中心;康桥街道文体活动中心;杭州市拱墅区康桥街道康桥路296号;杭州市;拱墅区;120.147326;30.355994;周一至周五9：00-16:00;/whyx20221018/9/6126.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/6126.jpg
15;211;文化礼堂;大同镇丰畈村文化礼堂;杭州市建德市大同镇丰畈村葫芦庄自然村;杭州市;建德市;119.076853;29.292942;周一到周日09:00-17:00;/whyx20221018/9/16259.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/16259.jpg
15;211;文化礼堂;富春街道西邮村文化礼堂;杭州市富阳区富春街道西邮村1号;杭州市;富阳区;119.86545;30.04998;08:00-20:00;/whyx20221018/9/14897.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/14897.jpg
15;211;文化礼堂;银湖街道新常村文化礼堂;杭州市富阳区银湖街道新常村大山脚109号;杭州市;富阳区;119.96635;30.13026;08:00-20:00;/whyx20221018/9/14860.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/9/14860.jpg
17;219;机房/广播站;皋亭山发射台;杭州市南山林场;杭州市;余杭区;120.2828624;30.42881688;不开放;/whyx20221018/89/8034.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/89/8034.jpg
9;205;体育设施;加德社区百姓健身房;金城路333号加州阳光会所;杭州市;萧山区;120.250577;30.184462;nan;/whyx20221018/89/6887.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/89/6887.jpg
14;210;文体中心;千岛湖镇综合文化站;淳安县千岛湖镇排岭南路54号;杭州市;淳安县;119.0406;29.601319;08:30-17:00;/whyx20221018/89/6395.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/89/6395.jpg
3;200;文化活动室;云水社区文化活动室;杭州市富阳区云水社区文化活动室;杭州市;富阳区;120.2730335;30.16120463;nan;/whyx20221018/88/8972.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/88/8972.jpg
3;200;文化活动室;东平巷社区文化活动室;杭州市上城区湖滨街道东平巷社区文化活动室;杭州市;上城区;120.16581;30.251335;nan;/whyx20221018/88/8561.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/88/8561.jpg
15;211;文化礼堂;大同镇枫树岭村文化礼堂;杭州市建德市大同镇田长线靠近枫树底村;杭州市;建德市;119.092334;29.3469;周一到周日09:00-17:00;/whyx20221018/88/16258.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/88/16258.jpg
15;211;文化礼堂;湍口镇湍口村文化礼堂;浙江省杭州市临安区湍口镇湍口村老街51号;杭州市;临安区;119.161295;30.039544;08:00-18:30;/whyx20221018/88/14979.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/88/14979.jpg
1;198;农家书屋;浙江新世界国际旅游股份有限公司职工书屋;杭州市拱墅区武林街道凤起路361号;杭州市;拱墅区;120.168415;30.264224;周一至周五;/whyx20221018/88/13134.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/88/13134.jpg
3;200;文化活动室;明月桥社区文化活动中心;杭州市上城区明月桥社区文化活动中心;杭州市;上城区;120.2163572;30.29112623;nan;/whyx20221018/87/8724.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/87/8724.jpg
16;212;文化家园;新明社区文化家园;杭州市余杭区中泰街道新明社区文化家园;杭州市;余杭区;119.955126;30.244566;08:30-17:00;/whyx20221018/87/8344.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/87/8344.jpg
17;219;机房/广播站;机房;杭州市拱墅区古运路110、112、114、116号;杭州市;拱墅区;120.1278212;30.30776516;不开放;/whyx20221018/87/8014.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/87/8014.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市东清巷72-1;杭州市;拱墅区;120.165937;30.26402195;nan;/whyx20221018/87/7990.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/87/7990.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市复兴路387、389号清河家园底层;杭州市;上城区;120.153447;30.20849024;nan;/whyx20221018/87/7987.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/87/7987.png
2;199;文博场馆;杭州神博农家博物苑;杭州市萧山区宁围镇顺坝村402号;杭州市;萧山区;120.299747;30.266141;周一至周日08:30-17:00;/whyx20221018/87/14527.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/87/14527.jpg
16;212;文化家园;彩虹社区文化公园;杭州市富阳区彩虹社区文化公园;杭州市;富阳区;119.7212695;29.9163559;nan;/whyx20221018/86/9058.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/86/9058.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市滨江区浦沿街道钱塘景苑11幢1单元1201室;杭州市;滨江区;120.157401;30.185486;nan;/whyx20221018/86/7955.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/86/7955.jpg
14;210;文体中心;新街街道文体服务中心;杭州市萧山区新街街道戚枫路61号;杭州市;萧山区;120.342322;30.194245;周一至周日8：30-11：30；13：00-17：00；17：30-19：32周一上午闭馆;/whyx20221018/86/7463.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/86/7463.jpg
14;210;文体中心;分水镇制笔文化馆;分水镇玉华西路315号文体中心内;杭州市;桐庐县;119.43;29.93;周一至周日8:30-17:00;/whyx20221018/86/6202.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/86/6202.jpg
15;211;文化礼堂;大同镇万兴村文化礼堂;杭州市建德市大同镇万兴村坞石桥自然村;杭州市;建德市;119.05791;29.27473;周一到周日09:00-17:00;/whyx20221018/86/16238.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/86/16238.jpg
16;212;文化家园;九堡街道新江花园社区图书室;杭州市上城区九堡街道新江花园社区活动中心;杭州市;上城区;120.279441;30.305756;09:00-11:00;/whyx20221018/85/8663.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/85/8663.jpg
15;211;文化礼堂;新街街道盛东村文化礼堂;杭州市萧山区新街街道盛东村村委;杭州市;萧山区;120.334746;30.208241;周一至周日9:00-17:00;/whyx20221018/85/14846.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/85/14846.jpg
2;199;文博场馆;魏风江纪念馆;杭州市萧山区魏风江纪念馆;杭州市;萧山区;120.4889269;30.28575839;nan;/whyx20221018/84/9382.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/84/9382.jpg
16;212;文化家园;文源社区文化家园;杭州市萧山区新塘街道文源社区文化家园;杭州市;萧山区;120.276329;30.149643;nan;/whyx20221018/84/8851.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/84/8851.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市江南大道4320号;杭州市;滨江区;120.151196;30.185393;nan;/whyx20221018/84/7975.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/84/7975.jpg
11;207;青少年宫;建德市青少年活动中心乾潭分部;乾潭镇万乐路118号;杭州市;建德市;119.550684;29.618217;周六至周日8:30--17:00;/whyx20221018/84/5977.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/84/5977.jpg
14;210;文体中心;建德市梅城镇综合文化站;建德市梅城镇总府社区府前街52号;杭州市;建德市;119.503268;29.541507;08:30-17:00;/whyx20221018/84/5940.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/84/5940.jpg
2;199;文博场馆;红毛狮子非遗传承馆;杭州市临安区红毛狮子非遗传承馆;杭州市;临安区;119.159156;30.047275;09:00-17:00;/whyx20221018/83/9165.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/83/9165.jpg
11;207;青少年宫;萧山区青少年宫临浦分宫;杭州市临浦镇文化创意大厦;杭州市;萧山区;120.246637;30.047378;nan;/whyx20221018/83/7859.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/83/7859.jpg
15;211;文化礼堂;大同镇胡村源村文化礼堂;杭州市建德市大同镇胡村源村胡村源自然村;杭州市;建德市;119.129189;29.334472;周一到周日09:00-17:00;/whyx20221018/83/16253.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/83/16253.jpg
15;211;文化礼堂;富春街道宵井村文化礼堂;杭州市富阳区富春街道宵井村庙干1号;杭州市;富阳区;119.82487;30.02851;08:00-20:00;/whyx20221018/83/14866.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/83/14866.jpg
15;211;文化礼堂;杨村桥镇路边村文化礼堂;杭州市建德市杨村桥镇路边村;杭州市;建德市;119.481704;29.589044;周一至周日9:00-17:00;/whyx20221018/83/14785.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/83/14785.jpg
1;198;农家书屋;双浦镇白鸟村农家书屋;杭州市西湖区白鸟村文化礼堂;杭州市;西湖区;120.104598;30.11;周一至周六8:30-17:00;/whyx20221018/83/12026.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/83/12026.jpg
1;198;农家书屋;仓前街道宋家山社区图书室;杭州市余杭区仓前街道宋家山社区图书室;杭州市;余杭区;120.01147;30.27905564;nan;/whyx20221018/82/9061.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/82/9061.jpg
3;200;文化活动室;九堡街道和华社区文化活动室;杭州市上城区九堡街道和华社区文化活动室;杭州市;上城区;120.2614264;30.32504941;09:00-11:00;/whyx20221018/82/8648.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/82/8648.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市江城路417-1;杭州市;上城区;120.173493;30.230781;nan;/whyx20221018/82/7995.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/82/7995.jpg
2;199;文博场馆;国学馆;杭州市临安区国学馆;杭州市;临安区;119.179367;30.047503;09:00-17:00;/whyx20221018/81/9145.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/81/9145.jpg
3;200;文化活动室;蓝天社区文化活动室;杭州市上城区闸弄口街道蓝天社区文化活动室;杭州市;上城区;120.183538;30.287755;nan;/whyx20221018/81/8984.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/81/8984.jpg
5;202;剧院;杂技总团剧场;杭州市拱墅区沈塘桥路18号;杭州市;拱墅区;120.151919;30.281009;周一至周五 09:00-15:00;/whyx20221018/81/7842.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/81/7842.jpg
13;209;老年活动中心;海龙村建新老年活动中心;杭州市临安区潜川镇海龙村方家;杭州市;临安区;119.41879;30.108218;全天开放;/whyx20221018/81/4838.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/81/4838.jpg
15;211;文化礼堂;大同镇永平村文化礼堂;杭州市建德市大同镇永平村九山湖自然村;杭州市;建德市;120.232578;30.109913;周一到周日09:00-17:00;/whyx20221018/81/16233.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/81/16233.jpg
1;198;农家书屋;靖江街道靖港村农家书屋;杭州市萧山区靖江街道靖港家园268号;杭州市;萧山区;120.477381;30.238442;周一至周五8:00-11:00；13:00-17：00;/whyx20221018/80/11628.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/80/11628.jpg
16;212;文化家园;邻动秀水文化家园;杭州市萧山区邻动秀水文化家园;杭州市;萧山区;119.103806;30.235039;nan;/whyx20221018/8/8679.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/8/8679.jpg
17;219;机房/广播站;机房;杭州市上塘路181号朝晖泵站;杭州市;拱墅区;120.1613086;30.28778354;不开放;/whyx20221018/8/8015.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/8/8015.jpg
14;210;文体中心;楼塔镇综合文化站;杭州市萧山区楼塔镇文化广播站;杭州市;萧山区;120.134277;29.90584;周一至周日9：00-17：00;/whyx20221018/8/6868.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/8/6868.jpg
3;200;文化活动室;玉皇山社区文化活动室;杭州市上城区玉皇山社区文化活动室;杭州市;上城区;120.1461551;30.20907138;nan;/whyx20221018/79/8964.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/79/8964.jpg
11;207;青少年宫;萧山区青少年宫瓜沥分宫;杭州市萧山区东灵路123-124号;杭州市;萧山区;120.457882;30.176988;nan;/whyx20221018/79/7862.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/79/7862.jpg
16;212;文化家园;南门江社区文化家园;杭州市萧山区城厢街道南门江住宅区16-1;杭州市;萧山区;120.262323;30.154122;周一至周五上午8:30-11:30下午1：30-5:00;/whyx20221018/79/7488.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/79/7488.jpg
13;209;老年活动中心;红山农场居家养老服务中心;杭州市萧山区红山农场萧清大道4115号;杭州市;萧山区;120.361616;30.230108;周一至周五8:00--16:30;/whyx20221018/79/7156.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/79/7156.jpg
16;212;文化家园;吴家墩社区文化家园;杭州市拱墅区康桥街道吴家墩社区东苑151-152号;杭州市;拱墅区;120.158623;30.366909;09:00-16:00;/whyx20221018/79/6135.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/79/6135.jpg
1;198;农家书屋;浙江卓锦环保科技股份有限公司职工书屋;杭州市拱墅区绍兴路536号三立时代广场18楼;杭州市;拱墅区;120.158379;30.309888;nan;/whyx20221018/79/13142.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/79/13142.jpg
3;200;文化活动室;金海社区文化活动中心;杭州市上城区九堡街道金海社区文化活动中心;杭州市;上城区;120.263712;30.312978;09:00-11:00;/whyx20221018/78/8651.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/8651.jpg
3;200;文化活动室;闲创社区文化活动室;杭州市余杭区闲林街道闲创社区文化活动室;杭州市;余杭区;120.01147;30.279056;nan;/whyx20221018/78/8336.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/8336.jpg
17;219;机房/广播站;机房;杭州市钱塘区裕园公寓9幢（东）206室;杭州市;上城区;120.3398745;30.30618475;不开放;/whyx20221018/78/8006.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/8006.jpg
5;202;剧院;临平小百花越剧艺术中心;杭州市浙江省临平区为民弄8号;杭州市;临平区;120.298087;30.42147;nan;/whyx20221018/78/7827.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/7827.jpg
13;209;老年活动中心;北干一苑社区老年活动室;杭州市萧山区北干街道北干一苑路102号;杭州市;萧山区;120.269437;30.174236;由居民自行协商决定;/whyx20221018/78/6903.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/6903.jpg
15;211;文化礼堂;大慈岩镇吴山村文化礼堂;杭州市建德市大慈岩镇吴山村;杭州市;建德市;119.252061;29.29602;周一到周日09:00-17:00;/whyx20221018/78/16285.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/16285.jpg
15;211;文化礼堂;万市镇新民村文化礼堂;富阳区万市镇新民村徐家1号;杭州市;富阳区;119.54083;30.10107;08:00-20:00;/whyx20221018/78/14834.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/78/14834.jpg
3;200;文化活动室;复兴街社区文化活动室;杭州市上城区复兴街社区文化活动室;杭州市;上城区;120.1650049;30.21236543;nan;/whyx20221018/77/8489.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/77/8489.jpg
17;219;机房/广播站;发射台;杭州市淳安县千岛湖镇知林巷6号;杭州市;淳安县;119.0362599;29.60104164;不开放;/whyx20221018/77/8041.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/77/8041.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市翠苑五区20-101室;杭州市;西湖区;120.117082;30.28643549;nan;/whyx20221018/77/7963.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/77/7963.jpg
